link,nome,preco,nquartos,nbanheiros,ngaragem,area,data_scraping
https://mg.olx.com.br/regiao-de-juiz-de-fora/imoveis/duas-casas-triplex-geminadas-prontas-para-morar-no-aeroporto-1434551444,Duas casas triplex geminadas prontas para morar no Aeroporto!,R$ 920.000,3,2,2,235m²,2025-09-05 19:46:09
https://ce.olx.com.br/fortaleza-e-regiao/imoveis/casas-duplex-3-e-4-suites-em-condominio-clube-lancamento-exclusivo-1428079947,Casas Duplex 3 e 4 Suítes em Condomínio Clube  Lançamento Exclusivo,R$ 769.000,3,4,2,125m²,2025-09-05 19:46:09
https://ce.olx.com.br/fortaleza-e-regiao/imoveis/casas-terreas-com-3-suites-e-terrenos-a-partir-de-198m-acabamento-de-primeira-1418928635,Casas Térreas com 3 Suítes e Terrenos a partir de 198m²  Acabamento de Primeira,R$ 450.000,3,3,2,115m²,2025-09-05 19:46:09
https://ce.olx.com.br/fortaleza-e-regiao/imoveis/lindas-casas-planas-a-6-minutos-do-centro-de-eusebio-1383982053,Lindas casas planas a 6 minutos do Centro de Eusébio,R$ 385.000,3,3,2,84m²,2025-09-05 19:46:09
https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/casas-novas-2-quartos-com-area-privativa-e-2-vagas-jardim-leblon-bh-ca3572-1434550937,"Casas Novas 2 Quartos com Área Privativa e 2 Vagas  Jardim Leblon, BH - CA3572",R$ 439.000,2,2,2,58m²,2025-09-05 19:46:09
https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/casas-novas-2-quartos-com-area-privativa-e-2-vagas-jardim-leblon-bh-ca3571-1434550361,"Casas Novas 2 Quartos com Área Privativa e 2 Vagas  Jardim Leblon, BH - CA3571",R$ 449.000,2,2,2,58m²,2025-09-05 19:46:09
https://sp.olx.com.br/regiao-de-sorocaba/imoveis/casas-sorocaba-sp-1434549793,Casas SOROCABA - SP,R$ 1.565,1,1,4,120m²,2025-09-05 19:46:09
https://sp.olx.com.br/regiao-de-sorocaba/imoveis/casas-na-planta-em-tatui-sp-1434548907,Casas na planta em tatuí sp,R$ 184.900,2,1,2,46m²,2025-09-05 19:46:09
https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/imoveis/linda-casa-a-venda-no-condominio-casas-alto-paradiso-1434548842,Linda Casa a venda no condomínio Casas Alto Paradiso,R$ 695.000,3,3,2,83m²,2025-09-05 19:46:09
https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/casas-em-betim-aceita-financiamento-bancario-1434546843,Casas em Betim. Aceita Financiamento Bancário!,R$ 580.000,3,2,1,80m²,2025-09-05 19:46:09
https://sp.olx.com.br/sao-paulo-e-regiao/imoveis/casas-e-aptos-novos-em-cotia-osasco-e-sao-paulo-1434545256,"Casas e Aptos Novos Em Cotia, Osasco e São Paulo",R$ 10.000,2,2,2,50m²,2025-09-05 19:46:09
https://sp.olx.com.br/sao-paulo-e-regiao/imoveis/casas-antigas-a-venda-no-tucuruvi-1434543267,Casas antigas a venda no Tucuruvi,R$ 1.275.000,1,,1,410m²,2025-09-05 19:46:09
https://mg.olx.com.br/regiao-de-pocos-de-caldas-e-varginha/imoveis/casas-de-oportunidade-no-bairro-jardim-do-contorno-somente-r-260-000-00-1383906007,"Casas de oportunidade no bairro Jardim do Contorno, somente R$ 260.000,00",R$ 260.000,2,2,1,66m²,2025-09-05 19:46:09
https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/vendo-casas-2-quartos-com-suite-e-vaga-dentro-de-condominio-em-marica-localizacao-privile-1434542216,Vendo Casas 2 quartos com suite e vaga dentro de condomínio em Maricá. Localização Privile,R$ 268.000,2,2,1,51m²,2025-09-05 19:46:09
https://go.olx.com.br/grande-goiania-e-anapolis/imoveis/casas-carolina-parque-3-casas-oportunidade-1430265191,Casas Carolina Parque (3 casas) OPORTUNIDADE!,R$ 417.000,2,1,5+,180m²,2025-09-05 19:46:09
https://sp.olx.com.br/sao-paulo-e-regiao/imoveis/casa-terrea-lote-terreno-a-venda-na-vila-zelina-com-2-casas-15-x-20-otimo-para-investi-1162467284,"Casa térrea, lote terreno, a venda na Vila Zelina, com 2 casas, 15 x 20 ótimo para investi",R$ 800.000,5+,4,2,300m²,2025-09-05 19:46:09
https://pe.olx.com.br/grande-recife/imoveis/casas-duplex-em-aldeia-so-300m-do-centro-comercial-de-aldeia-financia-1427968695,"casas duplex em Aldeia, so 300m do centro comercial de Aldeia, financia.",R$ 300.000,3,4,1,75m²,2025-09-05 19:46:09
https://sp.olx.com.br/sao-paulo-e-regiao/imoveis/casas-e-condominios-prontos-na-vila-carrao-vila-formosa-penha-tatuape-itaquera-e-regiao-1433660683,"Casas e condomínios prontos na Vila Carrão, Vila Formosa, Penha, Tatuapé Itaquera e região",R$ 177.000,2,,1,1,2025-09-05 19:46:09
https://pr.olx.com.br/regiao-de-londrina/imoveis/casa-royal-golf-exclusiva-1433648948,CASA ROYAL GOLF - EXCLUSIVA,R$ 19.000.000,4,5+,4,750m²,2025-09-05 20:11:57
https://sp.olx.com.br/sao-paulo-e-regiao/imoveis/mansao-resort-com-cinema-e-raia-semi-olimpica-bar-molhado-balada-4-suites-masters-1417680245,MANSAO RESORT COM CINEMA E RAIA SEMI OLIMPICA ! BAR MOLHADO ! BALADA! 4 SUITES MASTERS !,R$ 17.000.000,4,5+,5+,800m²,2025-09-05 20:11:57
https://pr.olx.com.br/regiao-de-francisco-beltrao-e-pato-branco/terrenos/fazenda-de-gado-na-argentina-bernardo-de-irigoyen-divisa-com-santa-catarina-e-parana-1430897434,"Fazenda de gado na Argentina, Bernardo de Irigoyen, divisa com Santa Catarina e Paraná",R$ 16.200.000,21000000m²,,,,2025-09-05 20:11:57
https://sp.olx.com.br/vale-do-paraiba-e-litoral-norte/imoveis/casa-na-praia-grande-12-lofts-4-suites-1-cobertura-1-restaurante-1398532166,"Casa na praia grande 12 lofts, 4 suites.1.cobertura ,.1 restaurante",R$ 15.000.000,5+,5+,5+,1500m²,2025-09-05 20:11:57
https://df.olx.com.br/distrito-federal-e-regiao/terrenos/fazenda-sucupira-chacara-15mil-metros-posso-em-2mil-5mil-ac-carro-e-imovel-200m-d-1421694512,"FAZENDA SUCUPIRA, CHÁCARA 15MIL METROS, , POSSO ÷ EM 2MIL, 5MIL, AC CARRO E IMÓVEL, 200M D",R$ 2.000.000.000,15000m²,,,,2025-09-05 20:11:57
https://sp.olx.com.br/vale-do-paraiba-e-litoral-norte/terrenos/rd-si0005-imovel-para-aluguel-e-venda-possui-300m-5-km-da-dutra-bairro-quinta-das-fruta-1359410969,"RD-SI0005 Imóvel para aluguel e venda possui 300M², 5 km da dutra, bairro QUINTA DAS FRUTA",R$ 1.950.000.000,300m²,,,,2025-09-05 20:11:57
https://pe.olx.com.br/grande-recife/terrenos/chacara-sitio-para-venda-tem-5000-metros-quadrados-com-3-quartos-km-4-5-aldeia-camara-1400721671,"Chácara - Sítio para venda tem 5000 metros quadrados com 3 quartos Km 4,5  Aldeia - Camara",R$ 1.900.000.000,5700m²,,,,2025-09-05 20:11:57
https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/terrenos/imovel-para-venda-com-512-metros-quadrados-com-1-quarto-em-bigorrilho-curitiba-pr-1428505465,Imóvel para venda com 512 metros quadrados com 1 quarto em Bigorrilho - Curitiba - PR,R$ 1.690.000.000,512m²,,,,2025-09-05 20:11:57
https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/terreno-a-venda-360-m-por-r-1-600-000-00-aclimacao-sao-paulo-sp-1008672887,"Terreno à venda, 360 m² por R$ 1.600.000,00 - Aclimação - São Paulo/SP",R$ 1.650.000.000,360m²,,,,2025-09-05 20:11:57
https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/venda-linda-casa-de-campo-em-mogi-das-cruzes-viva-com-qualidade-conforto-e-espaco-1422111612,"VENDA LINDA Casa de Campo em Mogi das Cruzes  Viva com qualidade, conforto e espaço!",R$ 1.600.000.000,800m²,,,,2025-09-05 20:11:57
https://go.olx.com.br/grande-goiania-e-anapolis/terrenos/lote-plateau-dor-unique-1416300322,Lote Plateau Dor Unique,R$ 1.529.000.000,681m²,,,,2025-09-05 20:11:57
